Resource,type,name,extension,date,size,sha1,md5,files_count,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_choice,matched_rule__licenses,copyright,copyright_holder,author,email,url,package__type,package__name,package__version,package__primary_language,package__summary,package__description,package__homepage_url,package__download_url,package__bug_tracking_url,package__vcs_repository,package__copyright,package__asserted_license,package__notice_text
/test_extractcode.py,file,test_extractcode.py,.py,2016-12-01,4266,2fe887480b07eefed9fa5bfdcd964611a2bb581d,6a29d5f1cd5665f7ff3e4609f42b882a,,text/x-python,"Python script, ASCII text executable",Python,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/test_extractcode.py,,,,,,,,,,,,,,,,,,,apache-2.0,98.45,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,http://spdx.org/licenses/Apache-2.0,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_extractcode.py,,,,,,,,,,,,,,,,,,,scancode-acknowledgment,98.45,ScanCode acknowledgment,Permissive,nexB Inc.,https://github.com/nexB/scancode-toolkit/,,https://enterprise.dejacode.com/urn/urn:dje:license:scancode-acknowledgment,,,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_extractcode.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,Copyright (c) 2015 nexB Inc.,,,,,,,,,,,,,,,,,
/test_extractcode.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,nexB Inc.,,,,,,,,,,,,,,,,
/test_extractcode.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,http://nexb.com/,,,,,,,,,,,,,
/test_extractcode.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,https://github.com/nexB/scancode-toolkit/,,,,,,,,,,,,,
/test_extractcode.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,http://apache.org/licenses/LICENSE-2.0,,,,,,,,,,,,,
/test_archive.py,file,test_archive.py,.py,2016-12-08,88186,1bd5093f47366d2212a604fdb49ec061d6ef6ce5,749accad19c6ff1fffcd433015818cc6,,text/x-python,"Python script, ASCII text executable, with very long lines",Python,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,apache-2.0,98.45,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,http://spdx.org/licenses/Apache-2.0,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,scancode-acknowledgment,98.45,ScanCode acknowledgment,Permissive,nexB Inc.,https://github.com/nexB/scancode-toolkit/,,https://enterprise.dejacode.com/urn/urn:dje:license:scancode-acknowledgment,,,4,23,apache-2.0_scancode.RULE,False,"[u'apache-2.0', u'scancode-acknowledgment']",,,,,,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,Copyright (c) 2016 nexB Inc.,,,,,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,nexB Inc.,,,,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,http://nexb.com/,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,https://github.com/nexB/scancode-toolkit/,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,http://apache.org/licenses/LICENSE-2.0,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,157,,,,,,,,http://bugs.gw.com/view.php?id=467,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,166,,,,,,,,http://bugs.gw.com/view.php?id=473,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,381,,,,,,,,http://archive.apache.org/dist/commons/logging/source/commons-logging-1.1.2-src.tar.gz,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,621,,,,,,,,https://github.com/libarchive/libarchive/issues/545,,,,,,,,,,,,,
/test_archive.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,956,,,,,,,,https://hg.python.org/cpython/raw-file/bff88c866886/Lib/test/testtar.tar,,,,,,,,,,,,,
/data/,directory,data,,,23611322,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/,directory,new_name,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/,directory,extract,,,5726815,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/patch/,directory,patch,,,5847529,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/archive/,directory,archive,,,12036978,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/ext/,directory,ext,,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/noext/,directory,noext,,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/ext/test_2.txt,file,test_2.txt,.txt,2016-12-01,0,,,,inode/x-empty,empty,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/ext/test.txt,file,test.txt,.txt,2016-12-01,0,,,,inode/x-empty,empty,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/ext/test_1.txt/,directory,test_1.txt,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/ext/test.txt_1/,directory,test.txt_1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/ext/test_1.txt/.dummy,file,.dummy,.dummy,2016-12-01,0,,,,inode/x-empty,empty,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/ext/test.txt_1/.dummy,file,.dummy,.dummy,2016-12-01,0,,,,inode/x-empty,empty,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/noext/test,file,test,,2016-12-01,0,,,,inode/x-empty,empty,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/noext/test_2,file,test_2,,2016-12-01,0,,,,inode/x-empty,empty,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/noext/TEST_1,file,TEST_1,,2016-12-01,0,,,,inode/x-empty,empty,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/noext/test_3/,directory,test_3,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/new_name/noext/test_3/.dummy,file,.dummy,.dummy,2016-12-01,0,,,,inode/x-empty,empty,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/basic_non_nested.tar.gz,file,basic_non_nested.tar.gz,.gz,2016-12-01,225,7ae2f8079752f5ac4ea4d7b3c64e2c26f9448d70,ada129068e24cf61e3c863ff9b8a71a6,,application/x-gzip,"gzip compressed data, last modified: Tue Jul 29 18:56:56 2008, from Unix",,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/basic_non_nested.tar.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/readonly/,directory,readonly,,,193,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/,directory,TODO,,,3307730,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/kinds/,directory,kinds,,,890,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/ar_tree/,directory,ar_tree,,,2327102,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/broken_link/,directory,broken_link,,,4658,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/small/,directory,small,,,1384,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/special/,directory,special,,,10206,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/relative_path/,directory,relative_path,,,880,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/tree/,directory,tree,,,2308,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/corrupted/,directory,corrupted,,,235,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/nested_not_compressed/,directory,nested_not_compressed,,,189,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/space-tgz/,directory,space-tgz,,,225,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/nested/,directory,nested,,,1838,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/space-zip/,directory,space-zip,,,1384,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/scm/,directory,scm,,,67368,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/readonly/read_only.tar.gz,file,read_only.tar.gz,.gz,2016-12-01,193,8de2c1d43bd8ce1e88416df2f45544594187d5ac,ebfc3f05b16b1377b7a159d28ba9c82b,,application/x-gzip,"gzip compressed data, was ""tgz_containing_read_only_file.tar"", last modified: Mon Mar 30 16:49:56 2015, max compression",,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/readonly/read_only.tar.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/ipm430.rar,file,ipm430.rar,.rar,2016-12-01,207989,f37bcbfe67d20fd5b71825d2db539e593ccc22cc,bbab4ab21749a84fdcd20f3002e9f145,,application/x-rar,"RAR archive data, v1d, os: Win32",,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/ipm430.rar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/permission_cbrtimer.tar.gz,file,permission_cbrtimer.tar.gz,.gz,2016-12-01,178542,03b5c7b67d7e179d61a888125f4db0fde02043f1,93a372b29c4b3e3925bb5bae145ecfa9,,application/x-gzip,"gzip compressed data, last modified: Tue Nov 4 11:50:29 2008, from Unix",,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/permission_cbrtimer.tar.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/org-jvnet-glassfish-comms-sipagent_1530.jar,file,org-jvnet-glassfish-comms-sipagent_1530.jar,.jar,2016-12-01,220132,0c8b1848a68f53033a02559e534a899d70fb67bb,d5e630085eb6ab012bfdf4f42de39da2,,application/java-archive,Java archive data (JAR),,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/org-jvnet-glassfish-comms-sipagent_1530.jar,,,,,,,,,,,,,,,,,,,apache-2.0,40.00,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,http://spdx.org/licenses/Apache-2.0,386,386,apache-2.0_36.RULE,False,[u'apache-2.0'],,,,,,,,,,,,,,,,,,
/data/extract/TODO/org-jvnet-glassfish-comms-sipagent_1530.jar,,,,,,,,,,,,,,,,,,,cddl-1.0,45.00,CDDL 1.0,Copyleft Limited,Oracle Corporation,http://www.sun.com/cddl/,http://www.sun.com/cddl/cddl.html,https://enterprise.dejacode.com/urn/urn:dje:license:cddl-1.0,CDDL-1.0,http://spdx.org/licenses/CDDL-1.0,386,386,cddl-1.0_6.RULE,False,[u'cddl-1.0'],,,,,,,,,,,,,,,,,,
/data/extract/TODO/org-jvnet-glassfish-comms-sipagent_1530.jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,388,,,,"Copyright (c) Ericsson AB, 2004-2007.",,,,,,,,,,,,,,,,,
/data/extract/TODO/org-jvnet-glassfish-comms-sipagent_1530.jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,388,,,,,Ericsson AB,,,,,,,,,,,,,,,,
/data/extract/TODO/org-jvnet-glassfish-comms-sipagent_1530.jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,386,,,,,,,,https://glassfish.dev.java.net/public/CDDLv1.0.html,,,,,,,,,,,,,
/data/extract/TODO/org-jvnet-glassfish-comms-sipagent_1530.jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,386,,,,,,,,http://www.netbeans.org/dtds/filesystem-1_1.dtd,,,,,,,,,,,,,
/data/extract/TODO/org-jvnet-glassfish-comms-sipagent_1530.jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/macosx-dot-files-ticket_1176.tar.gz,file,macosx-dot-files-ticket_1176.tar.gz,.gz,2016-12-01,516516,ee321e2ef38062029c168de3531c007cdeeb3545,cf6c1a682f82670eabb6c337cf534690,,application/x-gzip,"gzip compressed data, last modified: Fri Dec 11 01:10:11 2009, from Unix",,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/macosx-dot-files-ticket_1176.tar.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/file_4.26-1.diff.gz,file,file_4.26-1.diff.gz,.gz,2016-12-01,42754,35b75b33edb004cae331f564712b69c1e3754911,b14add9a4682997cc028292cefe2544f,,application/x-gzip,"gzip compressed data, last modified: Mon Sep 8 12:04:26 2008, max compression, from Unix",,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/file_with_tars_extracted.zip,file,file_with_tars_extracted.zip,.zip,2016-12-01,29023,74fde3c7af237c9b34da1ef993444bcb424abd76,69418c8756e7b52b4bab170dfbda32eb,,application/zip,"Zip archive data, at least v2.0 to extract",,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/file_with_tars_extracted.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/unicode/,directory,unicode,,,529841,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/empty_dir/,directory,empty_dir,,,2555,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/data/extract/TODO/shallow/,directory,shallow,,,1124,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
