"ScanCode License key","ScanCode License short name","URL to data","URL to text",
"adobe-air-sdk","Adobe AIR SDK EULA - 2008","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-air-sdk.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-air-sdk.LICENSE",
"adobe-air-sdk-2014","Adobe Air SDK EULA - 2014","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-air-sdk-2014.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-air-sdk-2014.LICENSE",
"adobe-eula","Adobe EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-eula.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-eula.LICENSE",
"adobe-flash-player-eula-21.0","Adobe Flash Player EULA 21.0","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-flash-player-eula-21.0.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-flash-player-eula-21.0.LICENSE",
"adobe-flex-4-sdk","Adobe Flex 4 SDK SLA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-flex-4-sdk.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-flex-4-sdk.LICENSE",
"adobe-flex-sdk","Adobe Flex SDK SLA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-flex-sdk.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-flex-sdk.LICENSE",
"adobe-general-tou","Adobe General TOU","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-general-tou.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-general-tou.LICENSE",
"adobe-indesign-sdk","Adobe InDesign SDK License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-indesign-sdk.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-indesign-sdk.LICENSE",
"adobe-postscript","Adobe PostScript License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-postscript.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/adobe-postscript.LICENSE",
"afpl-9.0","Aladdin FPL v9","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/afpl-9.0.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/afpl-9.0.LICENSE",
"agere-bsd","Agere BSD","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/agere-bsd.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/agere-bsd.LICENSE",
"agere-sla","Agere WindModem EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/agere-sla.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/agere-sla.LICENSE",
"agpl-2.0","AGPL 2.0","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/agpl-2.0.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/agpl-2.0.LICENSE",
"alexisisaac-freeware","Alexisisaac Freeware License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/alexisisaac-freeware.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/alexisisaac-freeware.LICENSE",
"altova-eula","Altova EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/altova-eula.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/altova-eula.LICENSE",
"amazon-redshift-jdbc","Amazon Redshift JDBC Driver License Agreement","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/amazon-redshift-jdbc.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/amazon-redshift-jdbc.LICENSE",
"amazon-sl","Amazon Software License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/amazon-sl.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/amazon-sl.LICENSE",
"android-sdk-2012","Android SDK License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/android-sdk-2012.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/android-sdk-2012.LICENSE",
"android-sdk-license","Android SDK License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/android-sdk-license.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/android-sdk-license.LICENSE",
"android-sdk-preview-2015","Android SDK Preview License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/android-sdk-preview-2015.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/android-sdk-preview-2015.LICENSE",
"anu-license","ANU License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/anu-license.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/anu-license.LICENSE",
"apache-2.0-linking-exception","Apache 2.0 with Linking Exception","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apache-2.0-linking-exception.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apache-2.0-linking-exception.LICENSE",
"apache-2.0-runtime-library-exception","Apache 2.0 with Runtime Library Exception","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apache-2.0-runtime-library-exception.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apache-2.0-runtime-library-exception.LICENSE",
"apache-due-credit","Apache Due Credit Variant","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apache-due-credit.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apache-due-credit.LICENSE",
"apple-attribution","Apple Attribution License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-attribution.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-attribution.LICENSE",
"apple-attribution-1997","Apple Attribution 1997","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-attribution-1997.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-attribution-1997.LICENSE",
"apple-excl","Apple Example Code License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-excl.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-excl.LICENSE",
"apple-mpeg-4","Apple MPEG-4 License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-mpeg-4.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-mpeg-4.LICENSE",
"apple-sscl","Apple Sample Source Code License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-sscl.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/apple-sscl.LICENSE",
"aptana-1.0","Aptana 1.0","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/aptana-1.0.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/aptana-1.0.LICENSE",
"aravindan-premkumar","Aravindan Premkumar Licenase","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/aravindan-premkumar.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/aravindan-premkumar.LICENSE",
"argouml","ArgoUML License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/argouml.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/argouml.LICENSE",
"arm-cortex-mx","ARM Cortex-Mx Proprietary","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/arm-cortex-mx.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/arm-cortex-mx.LICENSE",
"arm-llvm-sga","ARM LLVM Grant","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/arm-llvm-sga.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/arm-llvm-sga.LICENSE",
"arphic-public","Arphic Public License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/arphic-public.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/arphic-public.LICENSE",
"aslp","Artop ASLP","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/aslp.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/aslp.LICENSE",
"aslr","Artop ASLR","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/aslr.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/aslr.LICENSE",
"asmus","ASMUS License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/asmus.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/asmus.LICENSE",
"asn1","ASN.1 Object Dumping Code License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/asn1.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/asn1.LICENSE",
"ati-eula","ATI Software EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/ati-eula.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/ati-eula.LICENSE",
"atmel-firmware","Atmel Firmware License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/atmel-firmware.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/atmel-firmware.LICENSE",
"autoit-eula","Autoit EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/autoit-eula.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/autoit-eula.LICENSE",
"baekmuk-fonts","Baekmuk Fonts License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/baekmuk-fonts.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/baekmuk-fonts.LICENSE",
"bea-2.1","BEA 2.1","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bea-2.1.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bea-2.1.LICENSE",
"beal-screamer","Beal Screamer License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/beal-screamer.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/beal-screamer.LICENSE",
"bigdigits","BigDigits License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bigdigits.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bigdigits.LICENSE",
"bigelow-holmes","Bigelow & Holmes Lucida Fonts License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bigelow-holmes.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bigelow-holmes.LICENSE",
"biopython","Biopython License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/biopython.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/biopython.LICENSE",
"bitstream","Bitstream Vera Font License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bitstream.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bitstream.LICENSE",
"bittorrent-1.2","BitTorrent 1.2","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bittorrent-1.2.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bittorrent-1.2.LICENSE",
"bittorrent-eula","BitTorrent EULA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bittorrent-eula.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bittorrent-eula.LICENSE",
"bitzi-pd","Bitzi-PD","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bitzi-pd.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bitzi-pd.LICENSE",
"bloomberg-blpapi","Bloomberg BLPAPI License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bloomberg-blpapi.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bloomberg-blpapi.LICENSE",
"boost-original","Boost Original","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/boost-original.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/boost-original.LICENSE",
"bpel4ws-spec","BPEL4WS Specification license","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bpel4ws-spec.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bpel4ws-spec.LICENSE",
"bpmn-io","bpmn.io License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bpmn-io.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bpmn-io.LICENSE",
"brad-martinez-vb-32","Brad Martinez VB-32 License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brad-martinez-vb-32.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brad-martinez-vb-32.LICENSE",
"brent-corkum","Brent Corkum License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brent-corkum.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brent-corkum.LICENSE",
"brian-clapper","Brian Clapper License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brian-clapper.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brian-clapper.LICENSE",
"brian-gladman","Brian Gladman License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brian-gladman.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brian-gladman.LICENSE",
"brian-gladman-3-clause","Brian Gladman 3-Clause License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brian-gladman-3-clause.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brian-gladman-3-clause.LICENSE",
"brian-gladman-dual","Brian Gladman Dual BSD-GPL","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brian-gladman-dual.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brian-gladman-dual.LICENSE",
"broadcom-cfe","Broadcom CFE License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-cfe.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-cfe.LICENSE",
"broadcom-commercial","Broadcom Commercial Notice","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-commercial.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-commercial.LICENSE",
"broadcom-confidential","Broadcom Confidential","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-confidential.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-confidential.LICENSE",
"broadcom-linux-timer","Broadcom Warranty Disclaimer","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-linux-timer.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-linux-timer.LICENSE",
"broadcom-proprietary","Broadcom Proprietary","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-proprietary.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-proprietary.LICENSE",
"broadcom-standard-terms","Broadcom Standard Terms","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-standard-terms.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-standard-terms.LICENSE",
"broadcom-unpublished-source","Broadcom Unpublished Source License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-unpublished-source.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-unpublished-source.LICENSE",
"broadcom-wiced","Broadcom WICED SDK License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-wiced.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/broadcom-wiced.LICENSE",
"brocade-firmware","Brocade Firmware License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brocade-firmware.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/brocade-firmware.LICENSE",
"bruno-podetti","Bruno Podetti License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bruno-podetti.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bruno-podetti.LICENSE",
"bsd-1988","BSD 1988","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-1988.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-1988.LICENSE",
"bsd-2-clause-plus-advertizing","BSD-2-Clause-plus-advertizing","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-2-clause-plus-advertizing.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-2-clause-plus-advertizing.LICENSE",
"bsd-ack-carrot2","BSD Acknowledgment (Carrot2) License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-ack-carrot2.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-ack-carrot2.LICENSE",
"bsd-axis","BSD-Axis","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-axis.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-axis.LICENSE",
"bsd-credit","BSD-Credit","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-credit.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-credit.LICENSE",
"bsd-dpt","BSD DPT","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-dpt.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-dpt.LICENSE",
"bsd-export","BSD-Export","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-export.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-export.LICENSE",
"bsd-innosys","BSD-InnoSys","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-innosys.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-innosys.LICENSE",
"bsd-intel","BSD Intel License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-intel.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-intel.LICENSE",
"bsd-new-derivative","BSD-Derivative","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-new-derivative.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-new-derivative.LICENSE",
"bsd-new-far-manager","BSD-Modified with Far Manager exception","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-new-far-manager.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-new-far-manager.LICENSE",
"bsd-no-mod","Madwifi License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-no-mod.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-no-mod.LICENSE",
"bsd-original-uc-1986","BSD-Original-UC-1986","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-original-uc-1986.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-original-uc-1986.LICENSE",
"bsd-original-uc-1990","BSD-Original-UC-1990","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-original-uc-1990.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-original-uc-1990.LICENSE",
"bsd-plus-mod-notice","BSD plus modification notice","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-plus-mod-notice.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-plus-mod-notice.LICENSE",
"bsd-plus-patent","BSD plus Patent","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-plus-patent.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-plus-patent.LICENSE",
"bsd-simplified-darwin","BSD Simplified Darwin","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-simplified-darwin.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-simplified-darwin.LICENSE",
"bsd-simplified-source","BSD-Simplified source","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-simplified-source.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-simplified-source.LICENSE",
"bsd-top","BSD-Top","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-top.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-top.LICENSE",
"bsd-unchanged","BSD Unchanged","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-unchanged.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsd-unchanged.LICENSE",
"bsdi-license","BSDI License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsdi-license.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsdi-license.LICENSE",
"bsl-1.0","Business Source License 1.0","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsl-1.0.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsl-1.0.LICENSE",
"bsla","BSLA","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsla.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bsla.LICENSE",
"bugsense-sdk","BugSense SDK License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bugsense-sdk.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bugsense-sdk.LICENSE",
"bytemark","BYTEmark License","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bytemark.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/bytemark.LICENSE",
"careware","Careware","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/careware.yml","https://github.com/nexB/scancode-toolkit/blob/develop/src/licensedcode/data/licenses/careware.LICENSE",
